name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
ford ecosport 1.5 dv5 mt titanium,2014,550000,110000,diesel,individual,manual,first
maruti swift vdi,2012,250000,156000,diesel,individual,manual,first
maruti alto lx,2004,80000,120000,petrol,individual,manual,first
maruti swift dzire vdi,2015,520000,50000,diesel,individual,manual,first
maruti alto lxi,2008,114999,30000,petrol,individual,manual,first
maruti alto lxi bsiii,2008,105000,30000,petrol,individual,manual,second
maruti alto lxi,2011,135000,78000,petrol,individual,manual,first
maruti wagon r vxi bs iv,2011,170000,40000,petrol,individual,manual,second
maruti swift dzire zdi,2016,750000,69000,diesel,individual,manual,first
maruti ritz vdi,2012,220000,120000,diesel,individual,manual,second
maruti alto k10 vxi,2015,265000,60000,petrol,individual,manual,first
hyundai verna 1.6 sx,2012,480000,80000,diesel,individual,manual,first
maruti wagon r vxi bs iv,2013,229999,62000,petrol,individual,manual,second
maruti ertiga vdi,2012,550000,120000,diesel,individual,manual,third
tata indica gls bs iv,2008,80000,90000,petrol,individual,manual,second
tata new safari dicor 2.2 ex 4x2,2010,300000,250000,diesel,individual,manual,second
maruti alto lx,2004,100000,70000,petrol,individual,manual,first
maruti wagon r lxi minor,2009,165000,76000,petrol,individual,manual,second
hyundai verna 1.6 sx,2014,650000,70000,diesel,individual,manual,second
chevrolet beat diesel lt,2013,195000,46000,diesel,individual,manual,first
ford figo diesel titanium,2011,190000,110000,diesel,individual,manual,second
ford figo diesel titanium,2011,150000,100000,diesel,individual,manual,second
mahindra xuv500 w6 2wd,2014,600000,151000,diesel,individual,manual,second
hyundai grand i10 sportz,2015,300000,90000,petrol,individual,manual,first
maruti swift vdi bsiv,2017,509999,25000,diesel,individual,manual,first
hyundai eon magna plus,2018,245000,30000,petrol,individual,manual,first
hyundai grand i10 sportz,2016,375000,25000,petrol,individual,manual,first
maruti ertiga vdi,2014,500000,100000,diesel,individual,manual,second
maruti alto lxi,2007,75000,40000,petrol,individual,manual,second
mahindra bolero power plus slx,2018,620000,35000,diesel,individual,manual,first
maruti alto lxi bsiii,2008,130000,40000,petrol,individual,manual,second
maruti alto k10 vxi,2016,350000,40000,petrol,individual,manual,first
maruti ritz vdi,2012,325000,119000,diesel,individual,manual,second
hyundai verna 1.6 sx crdi (o),2011,390000,90000,diesel,individual,manual,first
maruti swift dzire vdi,2019,650000,20000,diesel,individual,manual,first
maruti swift dzire vdi,2016,540000,80000,diesel,individual,manual,first
chevrolet beat lt,2015,245000,43000,petrol,dealer,manual,first
maruti alto lxi,2012,150000,50000,petrol,individual,manual,first
mahindra bolero power plus slx,2018,900000,25000,diesel,individual,manual,first
maruti alto k10 vxi,2014,200000,80000,petrol,individual,manual,second
maruti alto 800 vxi,2016,220000,60000,petrol,individual,manual,second
maruti alto k10 vxi,2016,300000,30000,petrol,individual,manual,first
maruti swift dzire vdi,2014,380000,100000,diesel,individual,manual,second
maruti alto lx,2006,90000,60000,petrol,individual,manual,second
maruti swift vdi,2012,225000,296823,diesel,individual,manual,first
maruti alto 800 lxi,2014,200000,40000,petrol,individual,manual,first
maruti swift dzire vdi,2017,650000,90000,diesel,individual,manual,first
maruti swift dzire vdi,2014,480000,110000,diesel,individual,manual,second
maruti ritz vdi,2011,280000,120000,diesel,individual,manual,second
maruti swift dzire vdi,2014,254999,30000,diesel,individual,manual,first
maruti swift vdi bsiv,2015,480000,140000,diesel,individual,manual,third
hyundai grand i10 sportz,2014,300000,120000,petrol,individual,manual,first
hyundai grand i10 sportz,2015,425000,12000,petrol,individual,manual,first
maruti swift dzire zdi,2017,650000,67000,diesel,individual,manual,first
mahindra bolero power plus slx,2017,675000,70000,diesel,individual,manual,first
tata new safari dicor 2.2 ex 4x2,2009,150000,120000,diesel,individual,manual,third
chevrolet spark 1.0 ls,2012,134000,90000,petrol,individual,manual,second
maruti wagon r lxi minor,2008,110000,70000,petrol,individual,manual,third
maruti alto k10 vxi,2014,180000,100000,petrol,individual,manual,second
maruti wagon r vxi bs iv,2014,290000,80000,petrol,individual,manual,second
maruti ritz vdi,2014,250000,115000,diesel,individual,manual,first
hyundai eon magna plus,2018,310000,20000,petrol,individual,manual,first
tata new safari dicor 2.2 ex 4x2,2009,204999,120000,diesel,individual,manual,second
maruti alto lxi,2012,180000,40000,petrol,individual,manual,second
maruti swift vdi bsiv,2014,420000,155000,diesel,individual,manual,first
maruti swift dzire vdi,2009,270000,190000,diesel,individual,manual,third
hyundai grand i10 sportz,2016,420000,44440,petrol,individual,manual,second
maruti swift vdi bsiv,2011,270000,120000,diesel,individual,manual,first
maruti swift dzire zdi,2015,470000,91365,diesel,dealer,manual,first
maruti swift dzire vdi,2013,360000,90010,diesel,dealer,manual,second
maruti ertiga vdi,2013,250999,80000,diesel,individual,manual,first
maruti swift dzire vdi,2013,495000,31800,diesel,dealer,manual,first
chevrolet beat diesel ls,2014,320000,60000,diesel,individual,manual,first
chevrolet beat diesel ls,2014,305000,66000,diesel,individual,manual,first
maruti wagon r lxi minor,2009,106000,70000,petrol,individual,manual,first
maruti swift dzire vdi,2015,535000,80000,diesel,individual,manual,first
tata new safari dicor 2.2 ex 4x2,2010,350000,100000,diesel,individual,manual,first
maruti wagon r lxi,2005,70000,70000,petrol,individual,manual,second
maruti alto 800 lxi,2012,120000,50000,petrol,individual,manual,first
maruti alto lxi bsiii,2009,114999,90000,petrol,individual,manual,second
maruti wagon r lxi,2005,90000,70000,petrol,individual,manual,second
maruti alto lx,2006,150000,140300,petrol,individual,manual,first
hyundai verna 1.6 sx,2012,500000,130000,diesel,individual,manual,first
maruti swift dzire vdi,2014,450000,260000,diesel,individual,manual,second
maruti 800 ac,2013,100000,80000,petrol,individual,manual,first
maruti alto 800 lxi,2015,265000,32933,petrol,dealer,manual,first
maruti wagon r lxi,2008,175000,54551,petrol,dealer,manual,first
maruti ertiga vdi,2015,763000,64441,diesel,dealer,manual,first
maruti swift vdi,2012,425000,40000,diesel,individual,manual,first
maruti 800 ac,2004,40000,69111,petrol,individual,manual,third
maruti 800 ac,2007,80000,120000,petrol,individual,manual,first
maruti alto 800 lxi,2019,210000,20000,petrol,individual,manual,first
tata indica gls bs iv,2008,70000,60000,petrol,individual,manual,first
renault kwid rxt,2015,270000,20969,petrol,dealer,manual,first
maruti alto k10 vxi,2015,270000,59258,petrol,dealer,manual,first
maruti 800 ac,2014,225000,35000,petrol,individual,manual,first
mahindra xuv500 w8 2wd,2015,900000,110000,diesel,individual,manual,second
maruti alto 800 lxi,2016,300000,25000,petrol,individual,manual,first
hyundai eon era plus,2014,210000,70000,petrol,individual,manual,third
maruti ertiga vdi,2015,600000,60000,diesel,individual,manual,second
maruti wagon r vxi bs iv,2014,260000,38000,petrol,individual,manual,second
maruti alto 800 lxi,2014,190000,90000,petrol,individual,manual,second
maruti 800 ac,2008,90000,70000,petrol,individual,manual,third
maruti alto 800 lxi,2015,310000,30000,petrol,individual,manual,second
maruti ertiga vdi,2012,700000,110000,diesel,individual,manual,second
hyundai verna 1.6 sx,2012,470000,109052,diesel,dealer,manual,first
hyundai eon magna plus,2018,300000,20000,petrol,individual,manual,first
hyundai santro xing gls,2007,85000,85000,petrol,individual,manual,second
hyundai verna 1.6 sx crdi (o),2013,525000,71000,diesel,dealer,manual,first
tata new safari dicor 2.2 ex 4x2,2008,220000,90000,diesel,individual,manual,second
maruti swift vdi bsiii,2010,229999,120000,diesel,individual,manual,second
maruti wagon r vxi bs iv,2018,425000,15000,petrol,individual,manual,first
tata indica gls bs iv,2008,95000,120000,petrol,individual,manual,third
maruti alto 800 lxi,2019,190000,5000,petrol,individual,manual,first
ford figo diesel titanium,2010,105000,90000,diesel,individual,manual,third
maruti alto lxi,2009,150000,40000,petrol,individual,manual,first
maruti wagon r vxi bs iv,2015,250000,25000,petrol,individual,manual,first
maruti wagon r vxi bs iv,2016,375000,30000,petrol,individual,manual,second
maruti wagon r lxi minor,2010,225000,100000,petrol,individual,manual,second
chevrolet beat diesel lt,2013,173000,70000,diesel,individual,manual,first
hyundai eon era plus,2018,300000,30000,petrol,individual,manual,first
maruti wagon r lxi minor,2007,130000,60000,petrol,individual,manual,third
maruti ritz vdi,2013,330000,63000,diesel,individual,manual,first
maruti swift dzire vdi,2013,250000,55000,diesel,individual,manual,first
renault kwid rxt,2017,240000,50000,petrol,individual,manual,first
renault kwid 1.0 rxt optional,2018,360000,15000,petrol,individual,manual,first
mahindra xuv500 w6 2wd,2016,1290000,5000,diesel,individual,manual,first
hyundai santro xing gls,2012,193000,45000,petrol,individual,manual,second
maruti wagon r lxi minor,2008,150000,50000,petrol,individual,manual,first
maruti ritz vdi,2013,240000,60000,diesel,individual,manual,second
mahindra xuv500 w6 2wd,2014,600000,80000,diesel,individual,manual,second
maruti alto k10 vxi,2017,350000,25000,petrol,dealer,manual,first
maruti alto lx,2008,140000,54000,petrol,dealer,manual,first
ford ecosport 1.5 dv5 mt titanium,2015,470000,146000,diesel,dealer,manual,first
mahindra xuv500 w6 2wd,2013,660000,69000,diesel,individual,manual,first
maruti swift vdi bsiv,2015,465000,60000,diesel,individual,manual,third
maruti swift dzire vdi,2017,600000,66000,diesel,individual,manual,third
hyundai verna 1.6 sx,2014,450000,78000,diesel,individual,manual,second
renault kwid rxt,2016,300000,40000,petrol,individual,manual,first
ford ecosport 1.5 dv5 mt titanium,2014,525000,75000,diesel,individual,manual,second
renault kwid 1.0 rxt optional,2019,400000,10000,petrol,individual,manual,first
maruti alto lxi,2009,78000,120000,petrol,individual,manual,second
maruti wagon r lxi minor,2008,110000,100000,petrol,individual,manual,second
ford figo diesel titanium,2012,300000,63700,diesel,individual,manual,first
maruti swift dzire vdi,2018,720000,15000,diesel,individual,manual,first
maruti swift vdi bsiv,2009,270000,120000,diesel,individual,manual,second
mahindra bolero power plus slx,2016,580000,95000,diesel,individual,manual,second
hyundai verna 1.6 sx,2012,434999,235000,diesel,individual,manual,second
maruti swift vdi bsiv,2014,540000,65000,diesel,dealer,manual,first
tata new safari dicor 2.2 ex 4x2,2011,459999,76400,diesel,individual,manual,second
renault kwid rxt,2018,310000,15000,petrol,individual,manual,first
maruti wagon r vxi bs iv,2015,320000,40000,petrol,individual,manual,first
maruti 800 ac,2006,100000,54000,petrol,individual,manual,first
chevrolet beat diesel lt,2016,350000,35000,diesel,individual,manual,second
maruti alto k10 vxi,2017,300000,31489,petrol,individual,manual,first
maruti 800 ac,2008,80000,50000,petrol,individual,manual,second
maruti alto 800 lxi,2013,900000,60000,petrol,individual,manual,second
renault kwid 1.0 rxt optional,2017,280000,36000,petrol,individual,manual,first
renault kwid rxt,2015,250000,50000,petrol,individual,manual,first
maruti swift dzire vdi,2014,185000,40000,diesel,individual,manual,third
hyundai eon era plus,2015,225000,80000,petrol,individual,manual,first
maruti alto k10 vxi,2017,320000,50000,petrol,individual,manual,second
mahindra xuv500 w6 2wd,2013,850000,85710,diesel,dealer,manual,first
ford ecosport 1.5 dv5 mt titanium,2014,580000,63356,diesel,dealer,manual,second
maruti alto k10 vxi,2018,231999,20000,petrol,individual,manual,first
chevrolet beat diesel lt,2013,215000,20000,diesel,individual,manual,third
hyundai eon magna plus,2012,245000,14987,petrol,dealer,manual,first
maruti alto 800 lxi,2014,180000,61000,petrol,individual,manual,first
mahindra xuv500 w8 2wd,2013,550000,222252,diesel,individual,manual,first
hyundai verna 1.6 sx,2012,520000,35000,diesel,individual,manual,first
maruti alto lxi,2007,95000,85000,petrol,individual,manual,second
maruti 800 ac,2006,55000,70000,petrol,individual,manual,second
maruti swift dzire vdi,2015,470000,89000,diesel,individual,manual,first
hyundai eon magna plus,2013,250000,40000,petrol,individual,manual,second
maruti wagon r vxi bs iv,2017,430000,17000,petrol,individual,manual,first
maruti swift vdi,2013,400000,125000,diesel,individual,manual,second
ford figo diesel titanium,2011,150000,120000,diesel,individual,manual,second
ford ecosport 1.5 dv5 mt titanium,2014,600000,87000,diesel,individual,manual,second
renault kwid 1.0 rxt optional,2017,300000,13000,petrol,individual,manual,second
tata indica gls bs iv,2007,60000,130000,petrol,individual,manual,second
maruti alto lxi,2006,60000,100000,petrol,individual,manual,second
maruti alto k10 vxi,2015,155000,60000,petrol,individual,manual,first
mahindra xuv500 w8 2wd,2014,750000,100000,diesel,individual,manual,second
maruti alto lx,2010,120000,90000,petrol,individual,manual,first
tata new safari dicor 2.2 ex 4x2,2012,320000,140000,diesel,individual,manual,second
maruti swift dzire zdi,2015,302000,60000,diesel,individual,manual,first
maruti swift vdi bsiii,2008,120000,175000,diesel,individual,manual,second
maruti alto lxi,2007,100000,70000,petrol,individual,manual,first
chevrolet beat diesel lt,2012,250000,40000,diesel,individual,manual,first
chevrolet spark 1.0 ls,2009,70000,60000,petrol,individual,manual,third
chevrolet beat diesel lt,2012,126000,98900,diesel,individual,manual,third
chevrolet beat diesel lt,2012,120000,125000,diesel,individual,manual,first
ford ecosport 1.5 dv5 mt titanium,2014,600000,30000,diesel,individual,manual,first
maruti swift dzire vdi,2019,650000,35000,diesel,individual,manual,first
tata indica gls bs iv,2010,90000,300000,petrol,individual,manual,third
hyundai eon magna plus,2018,360000,6000,petrol,individual,manual,first
maruti alto lxi,2011,150000,40000,petrol,individual,manual,second
maruti wagon r lxi minor,2008,200000,90000,petrol,individual,manual,second
maruti wagon r vxi bs iv,2010,240000,50000,petrol,individual,manual,second
hyundai eon magna plus,2014,320000,80000,petrol,individual,manual,first
maruti alto 800 lxi,2018,285000,14000,petrol,individual,manual,first
maruti alto lxi,2011,175000,60000,petrol,individual,manual,third
maruti wagon r vxi bs iv,2015,365000,23600,petrol,dealer,manual,first
hyundai eon era plus,2014,225000,30000,petrol,individual,manual,first
hyundai santro xing gls,2014,320000,54350,petrol,dealer,manual,first
maruti wagon r vxi bs iv,2015,390000,32260,petrol,dealer,manual,first
maruti alto lxi bsiii,2010,190000,73350,petrol,dealer,manual,first
maruti swift dzire vdi,2015,550000,61187,diesel,dealer,manual,first
maruti swift vdi bsiii,2009,265000,120000,diesel,individual,manual,second
ford figo diesel titanium,2012,175000,180000,diesel,individual,manual,first
hyundai eon era plus,2018,350000,15000,petrol,individual,manual,first
maruti alto lxi bsiii,2010,190000,52000,petrol,individual,manual,second
maruti alto 800 lxi,2018,300000,17000,petrol,individual,manual,first
tata indica gls bs iv,2010,75000,300000,petrol,individual,manual,third
mahindra xuv500 w8 2wd,2015,1000000,120000,diesel,individual,manual,second
ford ecosport 1.5 dv5 mt titanium,2014,580000,120000,diesel,individual,manual,first
maruti alto lxi,2011,225000,37091,petrol,individual,manual,first
maruti alto k10 vxi,2018,320000,38900,petrol,individual,manual,third
maruti wagon r lxi minor,2008,120000,110000,petrol,individual,manual,third
renault kwid rxt,2017,220000,20000,petrol,individual,manual,first
hyundai eon era plus,2018,350000,20000,petrol,individual,manual,first
maruti wagon r vxi bs iv,2018,440000,14000,petrol,dealer,manual,first
maruti alto 800 vxi,2019,300000,5000,petrol,individual,manual,first
hyundai santro xing gls,2009,140000,100000,petrol,individual,manual,third
ford figo diesel titanium,2014,200000,125000,diesel,individual,manual,second
maruti 800 ac,2009,120000,250000,petrol,individual,manual,second
hyundai eon era plus,2015,250000,25000,petrol,individual,manual,first
hyundai verna 1.6 sx crdi (o),2014,675000,61000,diesel,dealer,manual,first
chevrolet beat diesel lt,2011,221000,56000,diesel,dealer,manual,second
maruti wagon r lxi minor,2009,180000,30000,petrol,individual,manual,first
maruti swift vdi bsiii,2009,210000,109000,diesel,individual,manual,second
hyundai eon era plus,2013,219000,53500,petrol,individual,manual,third
maruti swift dzire vdi,2010,300000,120000,diesel,individual,manual,third
hyundai eon era plus,2013,170000,80000,petrol,individual,manual,third
ford ecosport 1.5 dv5 mt titanium,2015,550000,135000,diesel,individual,manual,second
maruti swift dzire zdi,2015,484999,90000,diesel,individual,manual,second
maruti swift dzire vdi,2014,480000,101000,diesel,dealer,manual,first
maruti swift vdi,2016,630000,55000,diesel,dealer,manual,first
maruti swift vdi,2015,500000,100000,diesel,dealer,manual,first
maruti swift vdi bsiv,2015,495000,105000,diesel,dealer,manual,first
mahindra xuv500 w8 2wd,2014,650000,218000,diesel,individual,manual,second
maruti alto lxi,2011,200000,40000,petrol,individual,manual,first
maruti alto lxi,2005,100000,124000,petrol,individual,manual,second
maruti swift dzire vdi,2019,680000,40000,diesel,individual,manual,first
maruti ritz vdi,2011,200000,120000,diesel,individual,manual,second
maruti swift dzire vdi,2015,470000,170000,diesel,individual,manual,first
maruti alto lx,2008,114999,66782,petrol,individual,manual,second
maruti alto lx,2006,75000,130000,petrol,individual,manual,first
hyundai verna 1.6 sx crdi (o),2013,500000,120000,diesel,individual,manual,first
maruti 800 ac,2014,195000,75000,petrol,individual,manual,second
maruti ritz vdi,2012,225000,90000,diesel,individual,manual,second
renault kwid rxt,2016,225000,40000,petrol,individual,manual,first
